animation_id,effector_index,frame_id,tangent
anim_1,1,frame_1,0.0
anim_1,1,frame_2,2.490071659941756
anim_1,1,frame_3,2.6557859212553963
anim_1,1,frame_4,2.9076543652467794
anim_1,1,frame_5,-3.0238816167011775
anim_1,1,frame_6,-2.639700305877929
anim_1,1,frame_7,-2.346425220762435
anim_1,1,frame_8,-2.1804930614159934
anim_1,1,frame_9,-2.1109693898511614
anim_1,1,frame_10,-2.104663949089567
anim_1,1,frame_11,-2.1405183032244524
anim_1,1,frame_12,-2.208096664097014
anim_1,1,frame_13,-2.3071072411157774
anim_1,1,frame_14,-2.450838971206779
anim_1,1,frame_15,-2.672644590094927
anim_1,1,frame_16,-3.014197462381122
anim_1,1,frame_17,2.855669543319049
anim_1,1,frame_18,2.5408940795336745
anim_1,1,frame_19,2.386302298147535
anim_1,1,frame_20,0.0
anim_1,2,frame_1,0.0
anim_1,2,frame_2,2.021330754857109
anim_1,2,frame_3,2.1739601392788845
anim_1,2,frame_4,2.401625874375459
anim_1,2,frame_5,2.9294032160024073
anim_1,2,frame_6,-2.295422738027712
anim_1,2,frame_7,-1.8041257309526326
anim_1,2,frame_8,-1.6880681310627728
anim_1,2,frame_9,-1.6956864077581588
anim_1,2,frame_10,-1.7581617892438535
anim_1,2,frame_11,-1.848191441463457
anim_1,2,frame_12,-1.9521335133444329
anim_1,2,frame_13,-2.0669234702547525
anim_1,2,frame_14,-2.211353963718258
anim_1,2,frame_15,-2.492644831187164
anim_1,2,frame_16,2.8311566909375214
anim_1,2,frame_17,1.9067569379523572
anim_1,2,frame_18,1.7196058862174397
anim_1,2,frame_19,1.721106941823464
anim_1,2,frame_20,0.0
anim_1,3,frame_1,0.0
anim_1,3,frame_2,1.930383147078414
anim_1,3,frame_3,2.083623212392066
anim_1,3,frame_4,2.260612087108419
anim_1,3,frame_5,2.676041584937637
anim_1,3,frame_6,-1.8850743989891516
anim_1,3,frame_7,-1.4543058191260845
anim_1,3,frame_8,-1.4324205553446778
anim_1,3,frame_9,-1.5072871268079069
anim_1,3,frame_10,-1.6249834367401763
anim_1,3,frame_11,-1.7613357837122536
anim_1,3,frame_12,-1.9002664276182462
anim_1,3,frame_13,-2.0324659373706804
anim_1,3,frame_14,-2.1647899010180467
anim_1,3,frame_15,-2.395138474000189
anim_1,3,frame_16,2.1101051875760293
anim_1,3,frame_17,1.4288041582887137
anim_1,3,frame_18,1.41446928191
anim_1,3,frame_19,1.5009919941535126
anim_1,3,frame_20,0.0
