motion_id,joint_index,position_x,orientation_amplitude,orientation_phase,orientation_phase_offset,animation_id,frame_id,time
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_20,0.95
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_19,0.8999999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_18,0.85
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_17,0.7999999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_16,0.7499999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_15,0.7
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_14,0.6499999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_13,0.6
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_12,0.5499999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_11,0.49999999999999994
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_10,0.44999999999999996
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_9,0.39999999999999997
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_8,0.35
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_7,0.3
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_6,0.24999999999999997
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_5,0.19999999999999998
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_4,0.15
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_3,0.09999999999999999
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_2,0.049999999999999996
motion_0,3,1.0,0.0,0.0,0.0,anim_1,frame_1,0.0
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_20,0.95
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_19,0.8999999999999999
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_18,0.85
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_17,0.7999999999999999
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_16,0.7499999999999999
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_15,0.7
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_14,0.6499999999999999
motion_0,2,1.0,0.2,6.283185307179586,0.0,anim_1,frame_13,0.6
