animation_id,effector_index,frame_id,bisector_x,bisector_y
anim_1,1,frame_1,,
anim_1,1,frame_2,-0.645766565256854,-0.7635348997893714
anim_1,1,frame_3,-0.538506672325778,-0.8426212457923293
anim_1,1,frame_4,-0.3521549132434913,-0.9359417273946434
anim_1,1,frame_5,-0.05808092109038404,-0.998311878425421
anim_1,1,frame_6,0.3048697753666734,-0.9523940466360938
anim_1,1,frame_7,0.6040154216479883,-0.7969726283953567
anim_1,1,frame_8,0.7695483024033304,-0.6385886080006067
anim_1,1,frame_9,0.8392277049187521,-0.543780157137794
anim_1,1,frame_10,0.8592368206508555,-0.511578035140104
anim_1,1,frame_11,-0.8515850307378204,0.5242164967103433
anim_1,1,frame_12,-0.8233479832306844,0.5675368697362003
anim_1,1,frame_13,-0.7732754145799562,0.6340702904301675
anim_1,1,frame_14,-0.6908178215490234,0.7230288634835137
anim_1,1,frame_15,-0.5478991914819478,0.8365443658129723
anim_1,1,frame_16,-0.29377300257396965,0.9558752130684602
anim_1,1,frame_17,0.07918098599293386,0.9968602567347075
anim_1,1,frame_18,0.4289326150443905,0.9033364886636546
anim_1,1,frame_19,0.6272323110100291,0.7788322207157444
anim_1,1,frame_20,,
anim_1,2,frame_1,,
anim_1,2,frame_2,-0.9258122317026135,-0.37798374519260264
anim_1,2,frame_3,-0.8643956596458202,-0.5028122349202209
anim_1,2,frame_4,-0.7537826787002592,-0.6571237884078326
anim_1,2,frame_5,-0.45829693516096615,-0.8887991444764477
anim_1,2,frame_6,0.3117081684014351,-0.9501778874252034
anim_1,2,frame_7,0.8874664403292686,-0.46087234381040576
anim_1,2,frame_8,0.9846741567747084,-0.174404142668737
anim_1,2,frame_9,-0.9926786538355191,0.12078530630545109
anim_1,2,frame_10,-0.9878367969926168,0.15549425232904093
anim_1,2,frame_11,-0.9731209849414867,0.23029448249254864
anim_1,2,frame_12,-0.9462475479474557,0.32344331497718065
anim_1,2,frame_13,-0.9052909568836467,0.42479204722392266
anim_1,2,frame_14,-0.8427943174966628,0.5382357646936279
anim_1,2,frame_15,-0.7100669289022925,0.7041341892560443
anim_1,2,frame_16,-0.16844895812104227,0.9857103775997975
anim_1,2,frame_17,0.6980251152317591,0.7160732773296944
anim_1,2,frame_18,0.9707682715611069,0.24001867204503266
anim_1,2,frame_19,-0.9888367220022979,-0.1490031449995274
anim_1,2,frame_20,,
anim_1,3,frame_1,,
anim_1,3,frame_2,-0.9601788482787647,-0.2793860757411951
anim_1,3,frame_3,-0.9063608016154967,-0.4225045529872006
anim_1,3,frame_4,-0.8245888195908235,-0.5657325150685723
anim_1,3,frame_5,-0.6235424894718203,-0.7817894625941725
anim_1,3,frame_6,0.38525449844858656,-0.9228103659068466
anim_1,3,frame_7,0.9951139939497362,-0.09873266453106874
anim_1,3,frame_8,0.9918913795157227,0.12708851735068905
anim_1,3,frame_9,-0.9949096318017427,-0.10077114938374274
anim_1,3,frame_10,-0.999989137349323,-0.0046610281437422674
anim_1,3,frame_11,-0.9925229497704813,0.12205815900177507
anim_1,3,frame_12,-0.9663887495688505,0.25708517014163557
anim_1,3,frame_13,-0.9227771293704737,0.38533410115221856
anim_1,3,frame_14,-0.8639012435401262,0.5036612367552455
anim_1,3,frame_15,-0.7589040298505514,0.6512024827014969
anim_1,3,frame_16,0.14203469048162592,0.9898616805896613
anim_1,3,frame_17,0.9803322411593215,0.19735424227399315
anim_1,3,frame_18,0.9888963155620621,-0.14860712320672378
anim_1,3,frame_19,-0.9936148815620622,0.11282494023224195
anim_1,3,frame_20,,
