animation_id,lod_index,frame_index,time,frame_id
anim_1,0,0,0E-18,frame_1
anim_1,0,1,0.049999999999999996,frame_2
anim_1,0,2,0.099999999999999992,frame_3
anim_1,0,3,0.149999999999999988,frame_4
anim_1,0,4,0.199999999999999984,frame_5
anim_1,0,5,0.249999999999999980,frame_6
anim_1,0,6,0.299999999999999976,frame_7
anim_1,0,7,0.349999999999999972,frame_8
anim_1,0,8,0.399999999999999968,frame_9
anim_1,0,9,0.449999999999999964,frame_10
anim_1,0,10,0.499999999999999960,frame_11
anim_1,0,11,0.549999999999999956,frame_12
anim_1,0,12,0.599999999999999952,frame_13
anim_1,0,13,0.649999999999999948,frame_14
anim_1,0,14,0.699999999999999944,frame_15
anim_1,0,15,0.749999999999999940,frame_16
anim_1,0,16,0.799999999999999936,frame_17
anim_1,0,17,0.849999999999999932,frame_18
anim_1,0,18,0.899999999999999928,frame_19
anim_1,0,19,0.949999999999999924,frame_20
